OBJECTID,FLD_AR_ID,FLD_ZONE,FLOODWAY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,BFE_REVERT,DEP_REVERT,SOURCE_CIT,Shape__Area,Shape__Length
1,81,AE,FLOODWAY,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,8063345.81958008,174045.110643183
2,82,AE,FLOODWAY,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,399475.757507324,16190.8947727073
3,83,AE,FLOODWAY,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,16545036.9879761,124312.624295702
4,84,AE,FLOODWAY,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,31387543.9893188,177894.44857767
5,85,AE,FLOODWAY,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,88963.8620605469,2922.79126891453
6,86,AE,FLOODWAY,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,2241846.68676758,17523.6363470215
7,87,AE,FLOODWAY,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,7958740.77911377,62761.4679582253
8,88,AE,FLOODWAY,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,5755115.5604248,96308.059475134
9,91,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,8324.58258056641,1024.873843804
10,92,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,133845.755554199,4185.49902189684
11,96,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,2459.07110595703,241.824878667608
12,98,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,86565.7174682617,3835.70764257745
13,101,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,54692.0252685547,2614.7624305101
14,102,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,2634.30816650391,258.841150375003
15,104,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,19698.9766235352,804.679792393449
16,106,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,36249.9981079102,2200.79881484938
17,107,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,49581.4030761719,1422.25824487529
18,109,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,38790.8069458008,1591.5077685948
19,112,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,18106.4794311523,954.232811604415
20,113,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,214846.168273926,3863.22904786066
21,115,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,FIS1,17714.4921875,1013.80439431809
