EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
2940,PHILADELPHIA CO.,(PHL)PHILADELPHIA IN,10/28/2006,842,Flood, , ,0,0,0,0,PA,EST-5, ,655,C,101,PHI,0,0,Mesonet,Heavy Rain, , ,0,N,0,N,(PHL)PHILADELPHIA IN,10/28/2006,1512,39.88,-75.25,39.88,-75.25,Heavy rain that fell during the first half of the day on the 28th caused poor drainage and stream flooding in Philadelphia. Storm totals averaged around one and a half inches and culminated an overall wet month for eastern Pennsylvania. Heavier rain fell upstream in Montgomery County. Rain began during the late evening on the 27th and fell at its heaviest before dawn on the 28th. It ended around Noon EDT on the 28th.  |The Wissahickon Creek at its mouth was above its 5 foot flood stage from 1142 a.m. EDT through 412 p.m. EDT on the 28th. It crested at 5.19 feet at 300 p.m. EDT. The Pennypack Creek at the Rhawn Street Bridge was above its 7 foot flood stage from 942 a.m. EDT through 1011 a.m. EDT on the 28th. It crested at 7.09 feet at 1000 a.m. EDT.  |Actual storm totals included 1.58 inches at the Northeast Pennsylvania Airport and 1.39 inches at the Philadelphia International Airport. |,"Heavy rain that fell during the first half of the day on the 28th caused poor drainage and stream flooding in southeastern Pennsylvania. Storm totals averaged around two inches and culminated an overall wet month for eastern Pennsylvania. Rain began during the late evening on the 27th and fell at its heaviest before dawn on the 28th. It ended by Noon EDT on the 28th. The heavy rain was caused by a moisture laden southerly flow that preceded an intensifying low pressure system that developed in the Gulf Coast States and its associated cold front.  |October 2006 precipitation total at the Philadelphia International Airport was 6.42 inches, 3.67 inches wetter than normal and the 4th wettest October on record.",31
6452,PHILADELPHIA CO.,PHILADELPHIA,11/08/2006,1204,Flood, , ,0,0,0,0,PA,EST-5, ,1042,C,101,PHI,0,0,Mesonet,Heavy Rain, , ,0,N,0,N,PHILADELPHIA,11/08/2006,2305,39.95,-75.17,39.95,-75.17,"The heavy rain caused flooding along both the Wissahickon and Pennypack Creeks. Flooding also occurred farther upstream in Montgomery County. The Pennypack Creek at the Rhawn Street Bridge was above its 7 foot flood stage from 1204 p.m. EST through 858 p.m. EST on the 8th. It crested at 8.5 feet at 245 p.m. EST. The Wissahickon Creek at its mouth was above its 5 foot flood stage from 121 p.m. EST through 1105 p.m. EST on the 8th. It crested at 5.81 feet at 515 p.m. EST. Storm totals included 2.81 inches at the Northeast Philadelphia Airport, 2.68 inches at the Franklin Institute, 2.22 inches at the Philadelphia International Airport and 2.18 inches in Roxborough.","A slow moving low pressure system that moved from the Gulf of Mexico caused heavy rain to fall during about a twelve hour period on the 8th in Eastern Pennsylvania. Storm totals averaged between 2 and 3 inches. The heavy rain caused urban and poor drainage flooding. The flooding was exacerbated by fallen leaves that clogged catch basins. The heavy rain also caused flooding along some of the creeks and rivers in Berks County and in southeastern Pennsylvania. Rain began falling during the evening on the 7th, fell heavy at times from about 3 a.m. EST through 3 p.m EST on the 8th and ended during the early evening on the 8th.   | |The heavy rain was caused by a low pressure system which formed in the Gulf of Mexico on the 6th and merged with an approaching cold front on the morning of the 7th. It then moved slowly northeast. The low pressure system reached Savannah, Georgia at 7 p.m. EST on the 7th, Elizabeth City, North Carolina at 7 a.m. EST on the 8th, was about 100 miles east of Atlantic City, New Jersey at 7 p.m. EST on the 8th and in the Gulf of Maine at 7 a.m. EST on the 9th.",32
12659,PHILADELPHIA CO.,(PHL)PHILADELPHIA IN,01/01/2007,1110,Flood, , ,0,0,0,0,PA,EST-5, ,2022,C,101,PHI,0,0,Mesonet,Heavy Rain, , ,0,N,0,N,(PHL)PHILADELPHIA IN,01/01/2007,1647,39.88,-75.25,39.88,-75.25,"The heavy rain caused both the Wissahickon and Pennypack Creeks to flood in Philadelphia. The heavy rain also forced the postponement of the Mummers Parade. The Wissahickon Creek at its mouth was above its 5 foot flood stage from 107 p.m. EST through 447 p.m. EST on the 1st. It crested at 5.34 feet at 3 p.m. EST. The Pennypack Creek at the Rhawn Street Bridge was above its 7 foot flood stage from 1110 a.m. EST through 1226 p.m. EST on the 1st. It crested at 7.11 feet at 1215 p.m. EST. Storm totals within Philadelphia included 2.03 inches at the Northeast Philadelphia Airport, 1.66 inches at the Fairmont Dam and 1.45 inches at the Philadelphia International Airport.|","The New Year began on a very wet note across Eastern Pennsylvania as a deep southerly flow from the Gulf of Mexico helped drop heavy rain across the state. Rain began falling around the start of the New Year and ended during by the early afternoon. The heaviest rain fell in and around the local Philadelphia area. This caused poor drainage flooding, as well as flooding of some of the creeks and streams in southeastern Pennsylvania. Storm totals averaged 1 to 2 inches with the lightest amounts in the Poconos and Lehigh Valley.|The slow moving frontal system that wrung the heavy rain across the region moved from the Tennessee Valley on the morning of December 31st, east to the Ohio Valley and southern Appalachians at 7 p.m. EST on the 31st, to the central Appalachians at 1 a.m. EST on January 1st. As the front started to cross the Pennsylvania, Maryland and West Virginia Appalachians during the morning of January 1st, a low pressure system formed on the triple point of the occluded front in northeastern Virginia around 7 a.m. EST on January 1st. The low pressure system then moved northeast through the Delmarva Peninsula and into New Jersey by the early afternoon of January 1st. At 7 p.m. EST on January 1st, the low pressure system reached western Long Island.",33
21068,PHILADELPHIA CO.,(PHL)PHILADELPHIA IN,03/02/2007,648,Flood, , ,0,0,0,0,PA,EST-5, ,2036,C,101,PHI,0,0,Mesonet,Heavy Rain, , ,0,N,0,N,(PHL)PHILADELPHIA IN,03/02/2007,1450,39.88,-75.25,39.88,-75.25,"On the 2nd, the Wissahickon Creek at its mouth in Philadelphia surpassed its flood stage of 5.0 feet at 7:04 AM EST, crested at 5.42 feet at 12:30 PM EST and then dropped below flood stage at 2:50 PM EST. Also on the 2nd, the Pennypack Creek at the Rhawn Street Bridge rose above its flood stage of 7.0 feet at 6:48 AM EST, crested at 8.09 feet at 10:00 AM EST and then dropped below flood stage at 1:18 PM EST.","An intense area of low pressure on the 1st moved into the Upper Midwest with a cold front stretched southward across the Ohio Valley all the way to the Gulf of Mexico. Meanwhile, another cold front moved through the Northeast and settled into the Mid Atlantic region. This boundary remained stationary for a time during the overnight hours of the 1st, as the strong low pressure system moved into the western Great Lakes. Gradually an occluded front moved through the area during the morning hours of the 2nd, as a weak area of low pressure developed over eastern Pennsylvania. Along and ahead of this boundary and weak area of low pressure, an abundance of moisture was brought northward across our area. This lead to 1 to 3 inches of rain late on the 1st into the 2nd, and when combined with melting piles of snow in some areas, mainly minor flooding of streams, creeks and some roads resulted across eastern Pennsylvania. Some of the flooding closed several roads in the region.|The rain began between 7:45 PM and 9:00 PM EST on the 1st and became heavy at times, then tapered off generally between 9:00 AM and 10:00 AM EST on the 2nd. Some rainfall totals include, 3.65 inches in New Garden Township (Chester County); 2.50 inches in Fricks (Bucks County); 2.25 inches in Williams Township (Northampton County); 2.21 inches in Lehighton (Carbon County); 2.20 inches in Exton, Franklin and Honey Brook (Chester County); 2.13 inches in Pine Valley (Philadelphia County); 2.10 inches in Southampton (Bucks County); 2.00 inches on Martins Creek (Northampton County); 1.89 inches in Chadds Ford (Delaware County); 1.82 inches at the Northeast Philadelphia Airport (Philadelphia County); 1.73 inches at Blue Marsh Lake (Berks County); 1.70 inches in Springfield (Delaware County); 1.67 inches in Perkasie (Bucks County); 1.62 inches in Palm (Montgomery County); 1.52 inches in Hamburg and at the Reading Airport (Berks County); 1.50 inches at the Lehigh Valley International Airport near Allenton (Lehigh County); 1.46 inches in Doylestown (Bucks County); 1.45 inches in Blakeslee (Monroe County); 1.43 inches at the Philadelphia International Airport (Philadelphia County); 1.40 inches at the Mount Pocono Airport (Monroe County); 1.40 inches in Beltzville Lake (Carbon County); 1.38 inches in Green Lane (Montgomery County); and 0.93 inches in Stoddartsville (Monroe County).",34
26913,PHILADELPHIA CO.,(PHL)PHILADELPHIA IN,04/15/2007,803,Flood, , ,0,0,0,0,PA,EST-5, ,3399,C,101,PHI,0,0,Newspaper,Heavy Rain, , ,0,N,0,N,(PHL)PHILADELPHIA IN,04/16/2007,1530,39.88,-75.25,39.88,-75.25,"The heavy rain led to flooding along the Schuylkill River and smaller creeks within Philadelphia. Kelly and Lincoln Drives near the Schuylkill River were flooded and closed. Flooding was also reported along Roosevelt Boulevard and Flat Rock Road. The heavy rain caused the rest of a retaining wall behind a Lyceum Avenue to collapse. Basements were flooded along the Schuylkill River in the Roxborough section of the city. Flooding was reported along Cobbs Creek, especially at 70th Street and Woodland Avenue. The heavy rain caused many flight delays at the Philadelphia International Airport and about 80 cancelled flights.  |The Schuylkill River at Philadelphia was above it 11 foot flood stage from 703 p.m. EDT on the 15th through 430 p.m. EDT on the 16th.  It crested at 11.34 feet at 1030 p.m. EDT on the 15th. The Pennypack Creek at the Rhawn Street Bridge was above its 7 foot flood stage from 903 a.m. EDT on the 15th through 1112 a.m. EDT on the 16th.  It crested at 10.34 feet at 800 p.m. EDT on the 15th. The Wissahickon Creek at its mouth was above its 5 foot flood stage from 951 a.m. EDT on the 15th through 424 p.m. EDT on the 16th. It crested at 7.32 feet at 745 p.m. EDT on the 15th. Precipitation totals included 6.22 inches in Roxborough, 5.90 inches at the Northeast Philadelphia Airport and 5.09 inches at the Philadelphia International Airport.|","An intense nor'easter brought heavy rain and flooding to Eastern Pennsylvania on the 15th and strong to high winds as well as some snow to the region on the 16th. Numerous streams and rivers flooded, but the flooding along the Delaware River was minimal. Many roadways were closed due to flooding. Many basements were also flooded. There were a small number of mainly voluntary evacuations. About 25 major roadways around the greater Philadelphia Metropolitan area were closed due to flooding.|Rain began falling throughout the area during the late evening on the 14th. It started briefly as snow over some of the higher terrain of the Poconos. The rain fell at its heaviest across the Lehigh Valley and the Poconos from about 3 a.m. EDT on the 15th into the evening. Precipitation changed to snow over the higher terrain shortly after midnight EDT on the 16th while a mixture of rain and snow (during heavier bursts) continued in the valleys through the morning. Precipitation ended during the afternoon and early evening. Elsewhere across Eastern Pennsylvania, the rain fell at its heaviest from about 3 a.m. EDT on the 15th to about 3 a.m. EDT on the 16th. As the upper air disturbance moved across southeast Pennsylvania, the rain did change to snow for a couple of hours around sunrise on the 16th and accumulated about an inch or two on grassy areas. The steady precipitation ended during the afternoon and early evening on the 16th. Event precipitation totals averaged 3 to 6 inches. Event snowfall totals were an inch or two in most areas, except for 3 to 6 inches in the higher terrain of the Poconos. |The strongest winds occurred as the nor'easter pulled northeast of the region on the 16th from the early morning into the afternoon. The combination of the heavy rain, even some snow and the winds helped knock down numerous trees and power lines. PECO Energy reported about 80,000 of its southeastern Pennsylvania customers lost power. More than 50 major roads were closed in southeastern Pennsylvania because of downed trees. also in Southeastern Pennsylvani, five SEPTA Regional Rail Service Lines had service interruptions on the 16th. Pennsylvania Power and Light reported about 77,000 of its customers lost power in Eastern Pennsylvania and about 65,000 homes and businesses lost power in the Lehigh Valley. Peak wind gusts averaged around 50 mph.|The combination of the snow, wind (power outages) and flooding (more so in the local Philadelphia area) caused many school districts to either cancel classes or have delayed openings on the 16th. The nor'easter was so nasty that even the Internal Revenue Service extended the tax deadline for 48 hours.  |The nor'easter low pressure system initially formed in the southern Rockies on the 12th and moved to Arkansas on the morning of the 14th. At 8 p.m. EDT on the 14th, there were two low pressure systems, one in Kentucky and the other in western Alabama. The southern low pressure system became the predominate one overnight and at 8 a.m. EDT on the 15th, it (996 millibar low) was located in western North Carolina. As the 15th continued, it moved northeast and intensified rapidly. At 2 p.m. EDT the nor'easter (989 millibars) was near Raleigh, North Carolina. At 8 p.m. EDT, the nor'easter was a 979 millibar low pressure system near Virginia Beach, Virginia. Another low pressure system formed on its warm front during the afternoon over Chesapeake Bay and at 8 p.m. EDT it (982 millibars) was over extreme southwest New Jersey. The lows consolidated into one again overnight and a very intense 973 millibar low pressure system was located over Monmouth County, New Jersey at 2 a.m. EDT on the 16th. At 8 a.m. EDT on the 16th the nor'easter was down to 968 millibars and located over New York City. That was a drop in central pressure of 28 millibars in 24 hours which qualified it as a meteorological bomb (a drop in central pressure of at least 24 millibars in 24 hours) low pressure system. The nor'easter bottomed at a pressure of about 966 millibars (28.53 inches) at 11 a.m. EDT just south of Long Island, New York. To put into prospective how low the pressure was with this nor'easter, that central pressure is near the border of the pressure defined category 2 and category 3 hurricane once used on the Saffir-Simpson Hurricane Scale. As the 16th continued, the nor'easter weakened and meandered across southwest New England and the New York and New Jersey coastal waters. By 2 a.m. EDT on the 17th, the nor'easter's central pressure rose to 988 millibars and a second storm formed on the triple point of its fronts south of Nova Scotia. This became the main low pressure system. The low pressure system then slowly moved southeast over the next couple of days. The heaviest precipitation fell as the low pressure system was rapidly intensifying on the 15th into the early part of the 16th. The strongest winds ceased after the low pressure system started to fill on the afternoon of the 16th.",35
62884,PHILADELPHIA CO.,MANAYUNK,10/27/2007,1115,Flood, , ,0,0,0,0,PA,EST-5, ,11435,C,101,PHI,0,0,Mesonet,Heavy Rain, , ,1,ESE,1,ESE,MANAYUNK,10/27/2007,2008,40.013,-75.2069,40.0146,-75.2065,The Wissahickon Creek at its mouth with the Schuylkill River was above its 5 foot flood stage from 1115 a.m. EDT through 908 p.m. EDT on the 8th. It crested at 5.63 feet at 645 p.m. EDT. Storm totals within Philadelphia since precipitation started falling on Wednesday the 24th included 3.06 inches at the Northeast Philadelphia Airport and 2.83 inches at the Philadelphia International Airport.,"A slow moving weather pattern gave eastern Pennsylvania four days of rainy weather which culminated with periods of heavy rain from the afternoon of the 26th into the morning of the 27th. Four day storm totals averaged 2.5 to 5 inches across most the area with the highest amounts across the Philadelphia northwest suburbs. This caused poor drainage flooding as well as flooding of some of the smaller creeks in and around the local Philadelphia area. Specific storm totals included 5.74 inches in Norristown (Montgomery County), 4.76 inches in Doylestown (Bucks County), 4.11 inches in West Chester (Chester County), 3.73 inches in Chadds Ford  (Delaware County), 3.33 inches in Walnutport (Northampton County), 3.20 inches in Lehighton (Carbon County), 3.00 inches in Mount Pocono (Monroe County), 2.97 inches in Reading (Berks County), 2.93 inches at the Lehigh Valley International Airport and 2.86 inches at the Philadelphia International Airport.   ||The heavy rain was caused by a long and continuous fetch of tropical moisture between a slow moving upper level low from the south central part of the United States and a blocking ridge over the western Atlantic. The closed system lifted into the Great Lakes on Saturday the 27th and permitted a cold front to move through the region that day and shut off the moisture connection from the tropics.",36
84059,PHILADELPHIA CO.,MANAYUNK,02/13/2008,1252,Flood, , ,0,0,0,0,PA,EST-5, ,12676,C,101,PHI,0,0,Mesonet,Heavy Rain / Snow Melt, , ,2,E,1,E,MANAYUNK,02/13/2008,2236,40.02,-75.2,40.02,-75.2026,Runoff from the heavy rain and melting ice caused flooding along the Wissahickon Creek within Philadelphia during the afternoon and evening of the 13th. The heavy rain during the morning of the 13th also caused poor drainage flooding. The Wissahickon Creek at its mouth was above its 5 foot flood stage from 1252 p.m. EST through 1036 p.m. EST on the 13th. It crested at 5.42 feet at 8 p.m. EST. Event precipitation totals included 2.03 inches at the Northeast Philadelphia Airport and 1.76 inches at Philadelphia International Airport.,A protracted precipitation event that started as a wintry mix and then changed to rain caused flooding across Eastern Pennsylvania. Precipitation changed to plain rain mainly before sunrise on the 13th and fell continuously through the late afternoon on the 13th. The heaviest rain fell during the first half of the day on the 13th. The combination of the heavy rain and snow and ice melt caused flooding of many creeks and smaller rivers as well as poor drainage flooding in urban areas. Clogged catch basins exacerbated the problems. Storm totals averaged between two and three and a half inches.||The prolonged precipitation event was caused by the slow moving frontal system that went from Ohio on the early evening of the 12th and took until the afternoon of the 13th to move off of the New Jersey and Delaware coasts. A series of low pressure systems moved north along the frontal boundary and brought steady and in some cases heavy rain into the region.,37
89877,PHILADELPHIA CO.,MANAYUNK,03/08/2008,1827,Flood, , ,0,0,0,0,PA,EST-5, ,13381,C,101,PHI,0,0,Mesonet,Heavy Rain, , ,1,ESE,2,E,MANAYUNK,03/09/2008,49,40.011,-75.21,40.016,-75.2,"Runoff from the heavy rain caused flooding along the Wissahickon Creek.  The Wissahickon Creek at its mouth was above its 5 foot flood stage from 627 p.m. EST on the 8th through 1249 a.m. EST on the 9th. It crested at 5.73 feet at 1030 p.m. EST on the 8th. Event precipitation totals included 2.44 inches in Pine Valley, 2.37 inches at the Franklin Institute, 2.28 inches at the Northeast Philadelphia Airport and 2.05 inches at the Philadelphia International Airport.","The runoff from heavy rain during the late morning and early afternoon caused flash flooding of smaller streams, basement and poor drainage flooding mainly across extreme eastern Pennsylvania. Flooding later that afternoon and evening occurred across a few of the larger streams and creeks. Numerous vehicles drove around barricades and motorists had to be rescued. Rain began falling during the afternoon on the 7th and did not end until the early evening on the 8th. It fell at its heaviest between 10 a.m. EST and 3 p.m. EST on the 8th. Storm totals averaged around one to three inches with the highest amounts toward New Jersey.||The heavy rain was caused by a low pressure system that developed in the northeastern Gulf of Mexico on the 7th. It deepened to a 997 millibar low by the time it moved slowly northeast into West Virginia at 7 a.m. EST on the 8th. At 1 p.m. EST on the 8th, there were a pair of 992 millibar lows, one near Pittsburgh, Pennsylvania and the other in northern Virginia. At 4 p.m. EST on the 8th, they combined into one over southeast Pennsylvania and deepened to 987 millibars. At 7 p.m. EST the low had deepened to 985 millibars and was near New York City. Its associated cold front had cleared Delaware and New Jersey and ended the rain.",38
146670,PHILADELPHIA CO.,BUSTLETON,12/11/2008,2239,Flood, , ,0,0,0,0,PA,EST-5, ,23551,C,101,PHI,0,0,River/Stream Gage,Heavy Rain, , ,1,WSW,1,ENE,SHAWMONT,12/12/2008,1030,40.0745,-75.0487,40.0371,-75.2131,"The Wissahickon Creek at its mouth was above its 5 foot flood stage from 1 a.m. EST through 1030 a.m. EST on the 12th. It crested at 5.79 feet at 615 a.m. EST. The Pennypack Creek at the Rhawn Street Bridge was above its 7 foot flood stage from 1039 p.m. EST on the 11th through 753 a.m. EST on the 12th. It crested at 8.67 feet at 415  a.m. EST on the 12th.||There was also minor tidal flooding at the time of the early afternoon high tide along the Delaware River and its tidal tributaries on the 12th. The afternoon high tide in Philadelphia reached 8.44 feet above mean lower low water. Minor tidal flooding starts at 8.2 feet above mean lower low water.||Event precipitation totals included 3.51 inches at the Philadelphia International Airport, 3.30 inches in Pine Valley and 3.27 inches at the Northeast Philadelphia Airport.","Heavy rain and flooding affected most of Eastern Pennsylvania on the 11th and 12th. Rain began during the afternoon of the 10th and continued through the 11th into the early morning on the 12th. Rain fell at its heaviest from the afternoon of the 11th until just after Midnight EST on the 12th. Event precipitation totals averaged two to four inches. ||The heavy rain and flooding were caused by a low pressure system that developed along the Gulf Coast States on the 10th. This intensifying low pressure system moved northeast from Alabama on the morning of the 11th, to central North Carolina early in the evening on the 11th to near Bridgeport, Connecticut at 7 a.m. EST on the 12th.",39
182322,PHILADELPHIA CO.,MANAYUNK,06/13/2009,1915,Flood, , ,0,0,0,0,PA,EST-5, ,28056,C,101,PHI,0,0,River/Stream Gage,Heavy Rain, , ,1,ESE,1,ESE,MANAYUNK,06/14/2009,237,40.0155,-75.2071,40.0154,-75.2063,Runoff from the heavy rain in Montgomery County caused flooding along the Wissahickon Creek within Philadelphia. The Wissahickon Creek at its mouth was above its 5 foot flood stage from 815 p.m. EDT on the 13th through 337 a.m. EDT on the 14th. It crested at 6.65 feet at 1145 p.m. EDT on the 13th.,Slow moving thunderstorms with heavy rain affected eastern Pennsylvania during the afternoon and evening on the 13th and caused flooding. The thunderstorms formed near an inverted trof boundary that extended north from a low pressure system in North Carolina.,40
